OBJECTID,RDCODE,FROMLEFT,TOLEFT,FROMRIGHT,TORIGHT,UPDATE_,TOWNSHIP,AKA,AKA_NUM,AKA_CLASS,FULLNAME,PRE_DIR,PRE_TYPE,STR_NAME,STR_TYPE,SUF_DIR,ESNL,ESNR,ONEWAY,SPEEDLIMIT,MILES,COMMENT,RD_CLASS,STATUS,STREET,COUNTY,ST_NAME,ST_TYPE,ESN,TONS,JURS_DESC,CTU,GlobalID,CTU_NAME_L,CTU_NAME_R,MSAG_C_R,MSAG_C_L,MAINT_TWP,MAINT_MILES,TWP_YR_REPORTED,PAVED,ROUTE_SYS,PARITY_L,PARITY_R,ZIP_L,ZIP_R,CTU_ID_L,CTU_ID_R,POST_COMM_L,POST_COMM_R,CO_CODE_L,CO_CODE_R,CO_NAME_L,CO_NAME_R,STATE_L,STATE_R,ELEV_FROM,ELEV_TO,ROUTESPEED,GIS911POC,ESN_L,ESN_R,PSAP_L,PSAP_R,EFF_DATE,RET_DATE,EDIT_ORG,EDIT_DATE,SURF_TYPE,COMMENTS,created_user,created_date,last_edited_user,last_edited_date
22503,7,74347,74473,74346,74472,20121008,Northwood, ,0, ,Powder Horn Rd NW, , ,Powder Horn,Rd,NW,1450,1450, ,20,0.12087982,"Rd code changed, prev 50",10,Open,Powder Horn Rd NW,Beltrami,Powder Horn,Rd,0,,Private,T157N R038W Unorganized Territory,{A3313300-EBBB-44E0-8765-FCEB62CAC593},T157N R038W Unorganized Territory,T157N R038W Unorganized Territory,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,20,Beltrami County GIS,1450,1450,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22504,7,74201,74783,74200,74782,20121008,Northwood, ,0, ,Pine Island Rd NW, , ,Pine Island,Rd,NW,1450,1450, ,20,0.58594981,"Rd code changed, prev 50",10,Open,Pine Island Rd NW,Beltrami,Pine Island,Rd,0,,Private,T157N R038W Unorganized Territory,{38196998-5A50-4868-8712-B6D9CC5C4C1C},T157N R038W Unorganized Territory,T157N R038W Unorganized Territory,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,20,Beltrami County GIS,1450,1450,BELT,BELT,,,Beltrami County GIS,,Dirt/Unimproved,,,,KEV003,2021/05/04 15:51:04+00
22505,50,45000,45298,45001,45299, ,Northwood, ,0, ,White Wolf Rd NW, , ,White Wolf,Rd,NW,1450,1450, ,55,0.31127719, ,5,Open,White Wolf Rd NW,Beltrami,White Wolf,Rd,0,,Township,T157N R038W Unorganized Territory,{C99B0F79-8B56-4B64-8857-48CD3D7294B9},T157N R038W Unorganized Territory,T157N R038W Unorganized Territory,Grygla,Grygla,,,,,,Even,Odd,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1450,1450,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22506,50,37800,38248,37801,38249, ,Spruce Grove, ,0, ,Byklum Rd NW, , ,Byklum,Rd,NW,1420,1420, ,55,0.30876804, ,5,Open,Byklum Rd NW,Beltrami,Byklum,Rd,0,,Township,Spruce Grove Township,{916926C7-5B69-449C-9B0E-04755CCA846D},Spruce Grove Township,Spruce Grove Township,Grygla,Grygla,,,,,,Even,Odd,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22507,50,31800,32048,31801,32049, ,Spruce Grove, ,0, ,Grade School Rd NW, , ,Grade School,Rd,NW,1420,1420, ,55,0.16606566, ,5,Open,Grade School Rd NW,Beltrami,Grade School,Rd,0,,Township,Spruce Grove Township,{AFAF9350-3D52-43AC-9749-1095AC4D0F8D},Spruce Grove Township,Spruce Grove Township,Grygla,Grygla,,,,,,Even,Odd,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Minimum Maintenance,,,,KEV003,2021/05/04 15:51:04+00
22508,2,71001,71135,71000,71134, ,Benville,State 89,89,State,Hwy 89 NW, ,Hwy,89, ,NW,1420,1420, ,55,0.13153867, ,3,Open,Hwy 89 NW,Beltrami,89, ,0,,State Hwy,Benville Township,{E0C82B92-9409-48D9-B500-05BCE7B973A0},Lee Township,Benville Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Bituminous,,,,KEV003,2021/07/30 17:09:39+00
22509,2,62891,62999,62890,62998, ,Minnie,State 89,89,State,Hwy 89 NW, ,Hwy,89, ,NW,1420,1420, ,55,0.18998193, ,3,Open,Hwy 89 NW,Beltrami,89, ,0,,State Hwy,Minnie Township,{E40DA93C-BA77-4B87-B1DB-DF9ADB497FAA},Steenerson Township,Minnie Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Bituminous,,,,KEV003,2021/07/30 17:09:39+00
22510,50,62499,62999,62498,62998, ,Hamre, ,0, ,Skippley Rd NW, , ,Skippley,Rd,NW,1420,1420, ,55,0.50527659, ,5,Open,Skippley Rd NW,Beltrami,Skippley,Rd,0,,Township,Hamre Township,{5D951B1F-AB51-4562-9119-15B9D057D3E9},Lee Township,Hamre Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22511,51,62001,62149,62000,62148, ,Steenerson, ,0, ,Roen Rd NW, , ,Roen,Rd,NW,1420,1420, ,20,0.1546423, ,99,Open,Roen Rd NW,Beltrami,Roen,Rd,0,,Township Min Maint,Steenerson Township,{89A01B0B-33B6-4956-A811-74CDE97E96D4},Steenerson Township,Steenerson Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,20,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Dirt/Unimproved,,,,KEV003,2021/05/24 14:32:40+00
22512,51,24300,24798,24301,24799, ,Steenerson, ,0, ,Sackfield Ln NW, , ,Sackfield,Ln,NW,1420,1420, ,20,0.50101957, ,99,Open,Sackfield Ln NW,Beltrami,Sackfield,Ln,0,,Township Min Maint,Steenerson Township,{95162810-CFB6-405D-B045-E1A190B5FDB3},Steenerson Township,Steenerson Township,Grygla,Grygla,,,,,,Even,Odd,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,20,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Dirt/Unimproved,,,,KEV003,2021/05/24 14:32:40+00
22513,50,61551,61999,61550,61998, ,Lee, ,0, ,Sletten Rd NW, , ,Sletten,Rd,NW,1420,1420, ,55,0.44230217, ,5,Open,Sletten Rd NW,Beltrami,Sletten,Rd,0,,Township,Lee Township,{2C571488-BBE1-4059-98DA-B4A94AFC104F},Lee Township,Lee Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22514,50,59511,59901,59510,59900, ,Steenerson, ,0, ,Roen Rd NW, , ,Roen,Rd,NW,1420,1420, ,55,0.39684097, ,5,Open,Roen Rd NW,Beltrami,Roen,Rd,0,,Township,Steenerson Township,{FC316223-3C93-4F16-A9DD-FFED9353D152},Steenerson Township,Steenerson Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22515,50,61373,61999,61372,61998, ,Lee, ,0, ,Flintlock Rd NW, , ,Flintlock,Rd,NW,1420,1420, ,55,0.62423536, ,5,Open,Flintlock Rd NW,Beltrami,Flintlock,Rd,0,,Township,Lee Township,{AF6DD61C-AD61-4AE3-883B-6610CB6F1B9B},Lee Township,Lee Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22516,50,61401,61999,61400,61998, ,Hamre, ,0, ,Carmel Rd NW, , ,Carmel,Rd,NW,1420,1420, ,55,0.60334728, ,5,Open,Carmel Rd NW,Beltrami,Carmel,Rd,0,,Township,Hamre Township,{6044C90B-67B3-4F8E-AD54-423E2A2961DE},Hamre Township,Hamre Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22517,50,43800,44198,43801,44199, ,Lee, ,0, ,Comstock Rd NW, , ,Comstock,Rd,NW,1420,1420, ,55,0.26069481, ,5,Open,Comstock Rd NW,Beltrami,Comstock,Rd,0,,Township,Lee Township,{3EE86F57-A11F-4480-895E-8AC8F7F8BC11},Lee Township,Lee Township,Grygla,Grygla,,,,,,Even,Odd,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22518,50,24300,24392,24301,24393, ,Steenerson, ,0, ,Thorhult Rd NW, , ,Thorhult,Rd,NW,1420,1420, ,55,0.06147655, ,5,Open,Thorhult Rd NW,Beltrami,Thorhult,Rd,0,,Township,Steenerson Township,{A7DDBC13-EB40-4EB1-9B00-56876FF1E7D5},Steenerson Township,Steenerson Township,Grygla,Grygla,,,,,,Even,Odd,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22519,50,23300,24298,23301,24299, ,Steenerson, ,0, ,Thorhult Rd NW, , ,Thorhult,Rd,NW,1420,1420, ,55,0.52180202, ,5,Open,Thorhult Rd NW,Beltrami,Thorhult,Rd,0,,Township,Steenerson Township,{EC3DB362-7370-4204-ADE4-72D3F1223BAD},Steenerson Township,Steenerson Township,Grygla,Grygla,,,,,,Even,Odd,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22520,50,59351,59509,59350,59508, ,Steenerson, ,0, ,Roen Rd NW, , ,Roen,Rd,NW,1420,1420, ,55,0.16094597, ,5,Open,Roen Rd NW,Beltrami,Roen,Rd,0,,Township,Steenerson Township,{C2AB840C-123C-490D-BA6B-F145C99D76C6},Steenerson Township,Steenerson Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Gravel,,,,KEV003,2021/05/24 14:40:11+00
22521,2,59327,59463,59326,59462, ,Steenerson,State 89,89,State,Hwy 89 NW, ,Hwy,89, ,NW,1420,1420, ,55,0.17395617, ,3,Open,Hwy 89 NW,Beltrami,89, ,0,,State Hwy,Steenerson Township,{206CB93E-7982-4913-8206-BE5B467A4160},Steenerson Township,Steenerson Township,Grygla,Grygla,,,,,,Odd,Even,56727,56727,,,Grygla,Grygla,27007,27007,Beltrami,Beltrami,MN,MN,0,0,55,Beltrami County GIS,1420,1420,BELT,BELT,,,Beltrami County GIS,,Bituminous,,,,KEV003,2021/07/30 17:09:39+00